LR,LR_rf,rf,svm,,,,,,,W_seed,L_seed
0.507854017,0.546514925,0.559954265,0.850038709,0.616090479,1,1,1,1,,1,2
0.930280379,0.945529012,0.933397019,0.98528699,0.94862335,1,1,1,1,,1,3
0.512840782,0.592596691,0.533841651,0.879097082,0.629594051,1,1,1,1,,1,4
0.702560735,0.791228106,0.733556622,0.909262399,0.784151965,1,1,1,1,,1,5
0.957438669,0.957347552,0.8411984,0.964838857,0.930205869,1,1,1,1,,1,6
0.952751188,0.962845812,0.986096226,0.986320052,0.97200332,1,1,1,1,,1,7
0.940173026,0.945719258,0.95407408,0.979994779,0.954990286,1,1,1,1,,1,8
0.995687458,0.996766318,0.983145213,0.999999951,0.993899735,1,1,1,1,,1,9
0.990541315,0.990457165,0.997153959,0.999999614,0.994538013,1,1,1,1,,1,10
0.961565773,0.974123493,0.978607397,0.997124328,0.977855248,1,1,1,1,,1,11
0.930499846,0.942344675,0.973898407,0.930042883,0.944196453,1,1,1,1,,1,11
0.946074886,0.95244218,0.954424266,0.995850489,0.962197955,1,1,1,1,,1,12
0.983303103,0.986004898,0.993586538,0.995407365,0.989575476,1,1,1,1,,1,13
0.978618058,0.984969105,0.963613707,0.988532668,0.978933385,1,1,1,1,,1,14
0.996982789,0.997542537,0.997277289,0.993994205,0.996449205,1,1,1,1,,1,15
0.995951406,0.996841694,0.984612803,0.985622362,0.990757066,1,1,1,1,,1,16
0.996524978,0.996981456,0.993224125,0.982638952,0.992342378,1,1,1,1,,1,16
0.424073857,0.423696331,0.476621384,0.302639092,0.406757666,0,0,0,0,,1,1
0.163688342,0.173339293,0.261513976,0.086053765,0.171148844,0,0,0,0,,1,2
0.145289798,0.230706045,0.159297456,0.413130777,0.237106019,0,0,0,0,,1,3
0.817941683,0.863088511,0.874284745,0.94568876,0.875250925,1,1,1,1,,1,4
0.951108703,0.958767948,0.982157752,0.996724726,0.972189783,1,1,1,1,,1,5
0.930574287,0.937808498,0.951112374,0.983282945,0.950694526,1,1,1,1,,1,6
0.925584968,0.937124077,0.946813763,0.977911302,0.946858527,1,1,1,1,,1,7
0.979134506,0.981719614,0.981045913,0.99999945,0.985474871,1,1,1,1,,1,8
0.982436405,0.982979373,0.951733755,0.999999259,0.979287198,1,1,1,1,,1,9
0.952841618,0.955641066,0.931709253,0.9344346,0.943656634,1,1,1,1,,1,10
0.98611287,0.987551656,0.997769541,0.999996376,0.992857611,1,1,1,1,,1,11
0.85254261,0.873793483,0.728162242,0.610952591,0.766362731,1,1,1,1,,1,11
0.935708581,0.939739123,0.924771383,0.994897553,0.94877916,1,1,1,1,,1,12
0.979927963,0.978067627,0.98760016,0.995313224,0.985227243,1,1,1,1,,1,13
0.978709099,0.982794716,0.983475674,0.984832432,0.98245298,1,1,1,1,,1,14
0.993971707,0.994461742,0.994080329,0.983519748,0.991508382,1,1,1,1,,1,15
0.952218346,0.962982007,0.995998031,0.917795083,0.957248367,1,1,1,1,,1,16
0.438668092,0.432631718,0.4678335,0.186878369,0.38150292,0,0,0,0,,1,1
0.55202699,0.6091924,0.603608152,0.762823992,0.631912884,1,1,1,1,,1,2
0.664990974,0.78870471,0.757389724,0.900248515,0.777833481,1,1,1,1,,1,3
0.643192324,0.686772509,0.523728313,0.845908014,0.67490029,1,1,1,1,,1,4
0.731485484,0.790444858,0.546701546,0.808156109,0.719196999,1,1,1,1,,1,5
0.921238579,0.925810758,0.927057322,0.961142979,0.93381241,1,1,1,1,,1,6
0.91335148,0.922022129,0.867417245,0.999991132,0.925695497,1,1,1,1,,1,7
0.949059501,0.949535391,0.965506069,0.994378972,0.964619983,1,1,1,1,,1,8
0.95457944,0.966091984,0.963681464,0.983157028,0.966877479,1,1,1,1,,1,9
0.979599495,0.977799755,0.975080932,0.988223464,0.980175911,1,1,1,1,,1,10
0.960134199,0.966198815,0.98031248,0.999981757,0.976656813,1,1,1,1,,1,11
0.951672505,0.960610813,0.955637398,0.93638796,0.951077169,1,1,1,1,,1,12
0.950241665,0.962279544,0.936894304,0.990047688,0.9598658,1,1,1,1,,1,13
0.981150336,0.98424494,0.999207603,0.989041383,0.988411065,1,1,1,1,,1,14
0.982553033,0.986085778,0.999436844,0.95630341,0.981094766,1,1,1,1,,1,15
0.995904992,0.996138729,0.988252283,0.979429721,0.989931431,1,1,1,1,,1,16
0.314985149,0.279891595,0.425825723,0.063275288,0.270994439,0,0,0,0,,1,1
0.377896341,0.395538958,0.495896603,0.463220266,0.433138042,0,0,0,0,,1,2
0.775191747,0.797837624,0.799242523,0.850594667,0.80571664,1,1,1,1,,1,3
0.208666412,0.219343161,0.129894989,0.333796779,0.222925335,0,0,0,0,,1,4
0.839242209,0.856655052,0.724594502,0.965784862,0.846569156,1,1,1,1,,1,5
