,total_score,total_opponent_score,total_rebounds,total_off_rebounds,total_def_rebounds,total_blocks,total_assists,total_steals,total_turnover,total_personalfoul,total_assist_per_fgm,total_assist_turnover_ratio,expectation_per_game,avg_lose_score_by,avg_win_score_by,num_season,is_playoff,is_champion,win_rate,fgp,fg3p,total_off_rebounds_percent,total_def_rebounds_percent,total_rebound_possession_percent,total_rebound_possessiongain_percent,total_block_opp_FGA_percent,win_rate_away,win_rate_home,win_rate_neutral,win_rate_post,win_rate_regular,win_rate_overall
total_score,1.0,0.631129728560711,0.7831268759382336,0.5759067897280722,0.7681847289176776,0.4720092101516908,0.7899278967158437,0.49222174653298445,0.15685048100308013,0.40266070449552477,0.09745628340098507,0.5572716593332435,0.7047547940449547,0.45067019807194386,0.5445068468003479,0.24205468249841217,0.4210215919739842,0.2541286474799385,0.6819789130624359,0.5781660671343861,0.39229093129852843,0.06267212378858615,-0.06267212378858614,0.3528976926097085,0.01984282264549861,0.290025422553504,0.5274136371696634,0.6853266165733023,0.4283270663950885,0.37966718505318425,0.4527668826272161,0.43748080838962833
total_opponent_score,0.631129728560711,1.0,0.515028687453239,0.45053903691591035,0.4543647287043117,0.1960743796186467,0.36038185876631107,0.27656210105241413,0.4447251756028062,0.5351318114569505,-0.17096004277162435,0.030878130498117152,-0.10155107920843136,-0.15047191178592748,-0.05120018568120873,0.035964168480738155,0.07414129491764007,0.07256064787359082,-0.07409439802431074,0.040546678116149544,0.020011648711637846,0.17045286640242002,-0.17045286640241927,0.07316811587902051,-0.18167243568399913,-0.006601463128403125,-0.12756351942649496,-0.044349668280494914,0.09212893760503557,0.031079275514479136,0.05841597445840547,0.037172735990255584
total_rebounds,0.7831268759382336,0.515028687453239,1.0,0.8258923816472244,0.9168346600773204,0.5831836071466362,0.5600420826493581,0.34948686049138533,0.3590931534133956,0.41682739287393233,-0.06172503842694337,0.24198401486333862,0.5341374571630455,0.33559409512039073,0.40700159583398837,0.2364053019923504,0.4012260373042261,0.23635602930716867,0.5182295400263099,0.21068918616341198,0.018843889758151353,0.23686271616008897,-0.23686271616008817,0.5880216751940363,0.15970357996933796,0.4149095635373981,0.36605648848039485,0.5424804772040877,0.3421100071960054,0.3466849877906486,0.39755446737545147,0.3834948463779839
total_off_rebounds,0.5759067897280722,0.45053903691591035,0.8258923816472244,1.0,0.5320888831908304,0.43446996456035863,0.3367071296374057,0.44036014617500135,0.35240580832244384,0.4198634523079995,-0.20678502118698905,0.059339002043159755,0.3268797464013072,0.20240341368138687,0.26367657116136145,0.17562051499008147,0.3020712526796799,0.19031270836621395,0.30853088251136057,-0.0256044371127896,-0.17052892580652518,0.7375598781739233,-0.7375598781739218,0.8179075746819215,-0.008189926987795502,0.32806304240069795,0.20519670122098904,0.3290671570341949,0.22139415426299436,0.24375996351886883,0.24014054689577122,0.2367280393104834
total_def_rebounds,0.7681847289176776,0.4543647287043117,0.9168346600773204,0.5320888831908304,1.0,0.5680906571138337,0.6025689498497134,0.21298204314264907,0.2896912989084414,0.32862038380045705,0.0537408286435008,0.3213622612660263,0.570627640298549,0.3606254341772959,0.4244668332791775,0.23064162984310232,0.388605117937417,0.2201635583723383,0.5597325527267114,0.33451902287608387,0.1490552505187714,-0.16660130458829367,0.16660130458829284,0.30382968234410557,0.24562314298478147,0.3907476483649496,0.40430368846257775,0.5814713199261621,0.3568738632906115,0.3479943117003618,0.42694699621353976,0.4082504762422715
total_blocks,0.4720092101516908,0.1960743796186467,0.5831836071466362,0.43446996456035863,0.5680906571138337,1.0,0.3827799920833397,0.2928927186714114,0.1951654103686483,0.13592381423971495,0.004312571140564076,0.19299015950017243,0.42132739169972017,0.2660181189773755,0.36419227385340225,0.2669807129818893,0.3868529591741001,0.2710873738623373,0.3924756652591001,0.23633171229479014,0.012799888133493923,0.05573688038467978,-0.05573688038467979,0.32751445980112026,-0.2057501568598212,0.9620969387563483,0.254920383364904,0.43222922745775905,0.21279285035123943,0.3397174275480795,0.3200623338847472,0.3270823166998502
total_assists,0.7899278967158437,0.36038185876631107,0.5600420826493581,0.3367071296374057,0.6025689498497134,0.3827799920833397,1.0,0.3911850158739715,0.07990162844324769,0.18124836136694117,0.6495599108041893,0.7808733604204007,0.6809343339018845,0.4367555126454465,0.5673121511158399,0.25885180157853577,0.42088060296132157,0.23619168389197942,0.6396261800327109,0.6605795742954671,0.4483912388453868,-0.09164336961542936,0.0916433696154293,0.23699006233880685,0.03464975498421212,0.2533339674008827,0.48058179997102246,0.6562980934565691,0.3605133609851547,0.3763687171879183,0.4381811796180504,0.42727366494771946
total_steals,0.49222174653298445,0.27656210105241413,0.34948686049138533,0.44036014617500135,0.21298204314264907,0.2928927186714114,0.3911850158739715,1.0,0.23898843523666424,0.3654933895279795,0.01042921422845122,0.18284312919624635,0.3777414063548461,0.20873548441042605,0.32935498042642614,0.1153124060471201,0.21729355431772557,0.15470013632660026,0.36263051572734667,0.1396481948601287,-0.017685454908226973,0.3385605673005016,-0.3385605673005008,0.24254444090279179,-0.16937474690422163,0.24709944106063203,0.31025206068738453,0.34036318826972584,0.2307998871105984,0.18172392299966425,0.20437857750875538,0.20361396345462868
total_turnover,0.15685048100308013,0.4447251756028062,0.3590931534133956,0.35240580832244384,0.2896912989084414,0.1951654103686483,0.07990162844324769,0.23898843523666424,1.0,0.48614629027833534,-0.06082471922109446,-0.5401352015871965,-0.20182495857830807,-0.2407012915693444,-0.12478675329233661,-0.08299315676790088,-0.0531164739352023,0.02964354115916911,-0.16388682699825202,-0.06692309020753422,-0.18831708347247764,0.18326287726083682,-0.18326287726083706,0.3136014195331389,-0.04092965479460291,0.11538139908292708,-0.1580604999147641,-0.1579136142575252,-0.014192868754726347,-0.07066338423439725,-0.0633872078217511,-0.0840748075248339
total_personalfoul,0.40266070449552477,0.5351318114569505,0.41682739287393233,0.4198634523079995,0.32862038380045705,0.13592381423971495,0.18124836136694117,0.3654933895279795,0.48614629027833534,1.0,-0.1467415993648563,-0.14696385636885878,0.03458867565636455,0.018718036319616656,0.023256846403238527,-0.08742728370105124,-0.01182761777646095,0.0009835590783368036,0.03467947664158377,-0.08201313935845017,-0.05458250209695025,0.2258451061550027,-0.2258451061550026,0.17383825238250414,0.22709638875935031,0.07720991405082336,0.012030481690937615,0.033702320645104054,0.09883673483072358,0.0008478794906609049,0.03282751566833694,0.01710871338194453
