Season,WTeamID,W_seed,LTeamID,L_seed
1985,1116,9,1234,8
1985,1120,11,1345,6
1985,1207,1,1250,16
1985,1229,9,1425,8
1985,1242,3,1325,14
1985,1246,12,1449,5
1985,1256,5,1338,12
1985,1260,4,1233,13
1985,1314,2,1292,15
1985,1323,7,1333,10
1985,1326,4,1235,13
1985,1328,1,1299,16
1985,1374,5,1330,12
1985,1385,1,1380,16
1985,1396,8,1439,9
1985,1424,4,1361,13
1985,1104,7,1112,10
1985,1130,11,1403,6
1985,1181,3,1337,14
1985,1208,6,1455,11
1985,1210,2,1273,15
1985,1228,3,1318,14
1985,1268,5,1275,12
1985,1272,2,1335,15
1985,1276,1,1192,16
1985,1298,13,1261,4
1985,1301,3,1305,14
1985,1393,7,1177,10
1985,1412,7,1277,10
1985,1431,11,1409,6
1985,1433,2,1267,15
1985,1437,8,1173,9
1985,1120,11,1242,3
1985,1207,1,1396,8
1985,1246,12,1424,4
1985,1256,5,1326,4
1985,1260,4,1374,5
1985,1314,2,1323,7
1985,1328,1,1229,9
1985,1385,1,1116,9
1985,1104,7,1433,2
1985,1130,11,1181,3
1985,1210,2,1393,7
1985,1228,3,1208,6
1985,1268,5,1298,13
1985,1272,2,1412,7
1985,1301,3,1431,11
1985,1437,8,1276,1
1985,1207,1,1260,4
1985,1210,2,1228,3
1985,1272,2,1130,11
1985,1328,1,1256,5
1985,1301,3,1104,7
1985,1314,2,1120,11
1985,1385,1,1246,12
1985,1437,8,1268,5
1985,1207,1,1210,2
1985,1272,2,1328,1
1985,1385,1,1301,3
1985,1437,8,1314,2
1985,1207,1,1385,1
1985,1437,8,1272,2
1985,1437,8,1207,1
1986,1133,7,1431,10
1986,1177,12,1438,5
1986,1181,1,1290,16
1986,1207,4,1403,13
1986,1210,2,1265,15
1986,1242,1,1299,16
1986,1257,2,1180,15
1986,1261,11,1345,6
1986,1272,3,1123,14
1986,1277,5,1449,12
1986,1314,3,1428,14
1986,1328,4,1318,13
1986,1330,8,1452,9
1986,1396,9,1239,8
1986,1412,6,1281,11
1986,1437,10,1439,7
1986,1104,5,1462,12
1986,1114,14,1323,3
1986,1120,8,1112,9
1986,1156,14,1231,3
1986,1228,4,1193,13
1986,1235,7,1275,10
1986,1246,1,1172,16
1986,1268,5,1337,12
1986,1276,2,1103,15
1986,1298,7,1409,10
1986,1301,6,1234,11
1986,1385,1,1286,16
1986,1386,6,1350,11
1986,1393,2,1135,15
1986,1424,4,1419,13
1986,1443,8,1304,9
1986,1177,12,1328,4
